date,market,period
2007-11-19,GB,0.455
2007-11-19,US,0.276
2007-11-19,NL,0.351
2007-11-20,GB,0.470999
2007-11-20,US,0.309999
2007-11-20,NL,0.339999
2007-11-21,GB,0.505
2007-11-21,US,0.281
2007-11-21,NL,0.283999
2007-11-23,GB,0.673
2007-11-23,US,0.33
2007-11-23,NL,0.341
2007-11-26,GB,0.4725
2007-11-26,US,0.264999
2007-11-26,NL,0.3695
2007-11-27,GB,0.41
2007-11-27,US,0.27
2007-11-27,NL,0.388999
2007-11-28,GB,0.452999
2007-11-28,US,0.229
2007-11-28,NL,0.293
2007-11-29,GB,0.493999
2007-11-29,US,0.252
2007-11-29,NL,0.322
2007-11-30,GB,0.639
2007-11-30,US,0.254
2007-11-30,NL,0.381999
2007-12-03,GB,0.649
2007-12-03,US,0.264999
2007-12-03,NL,0.403999
2007-12-04,GB,0.435
2007-12-04,US,0.288
2007-12-04,NL,0.387
2007-12-05,GB,0.479
2007-12-05,US,0.294999
2007-12-05,NL,0.369
2007-12-06,GB,0.388
2007-12-06,US,0.291999
2007-12-06,NL,0.316999
2007-12-07,GB,0.397999
2007-12-07,US,0.302
2007-12-07,NL,0.235
2007-12-10,GB,0.641
2007-12-10,US,0.388999
2007-12-10,NL,0.333999
2007-12-11,GB,0.615
2007-12-11,US,0.310999
2007-12-11,NL,0.122
2007-12-12,GB,0.468
2007-12-12,US,0.311
2007-12-12,NL,0.245999
2007-12-13,GB,0.385
2007-12-13,US,0.265
2007-12-13,NL,0.251999
2007-12-14,GB,0.544999
2007-12-14,US,0.272999
2007-12-14,NL,0.225
2007-12-17,GB,0.499999
2007-12-17,US,0.34
2007-12-17,NL,0.188
2007-12-18,GB,0.557
2007-12-18,US,0.333
2007-12-18,NL,0.223
2007-12-19,GB,0.567999
2007-12-19,US,0.2555
2007-12-19,NL,0.252
2007-12-20,GB,0.512
2007-12-20,US,0.281999
2007-12-20,NL,0.245999
2007-12-21,GB,0.688
2007-12-21,US,0.312999
2007-12-21,NL,0.269
2007-12-24,GB,0.603499
2007-12-24,US,0.374999
2007-12-24,NL,0.676999
2007-12-27,GB,0.544
2007-12-27,US,0.294999
2007-12-27,NL,0.210999
2007-12-28,GB,0.858
2007-12-28,US,0.247999
2007-12-28,NL,0.174
2007-12-31,GB,1.205999
2007-12-31,US,0.292
2007-12-31,NL,0.937
2008-01-02,GB,0.396
2008-01-02,US,0.272999
2008-01-02,NL,0.254999
2008-01-03,GB,0.4315
2008-01-03,US,0.31
2008-01-03,NL,0.228
2008-01-04,GB,0.463999
2008-01-04,US,0.216999
