date,market,period
2014-12-02,GB,0.13
2014-12-02,US,0.100999
2014-12-02,NL,0.101
2014-12-03,GB,0.101
2014-12-03,US,0.109999
2014-12-03,NL,0.1
2014-12-04,GB,0.1
2014-12-04,US,0.097
2014-12-04,NL,0.078999
2014-12-05,GB,0.16
2014-12-05,US,0.13
2014-12-05,NL,0.109999
2014-12-08,GB,0.249999
2014-12-08,US,0.149999
2014-12-08,NL,0.133999
2014-12-09,GB,0.170999
2014-12-09,US,0.08
2014-12-09,NL,0.080999
2014-12-10,GB,0.17
2014-12-10,US,0.085
2014-12-10,NL,0.1
2014-12-11,GB,0.18
2014-12-11,US,0.086
2014-12-11,NL,0.090999
2014-12-12,GB,0.159999
2014-12-12,US,0.08
2014-12-12,NL,0.079999
2014-12-15,GB,0.129
2014-12-15,US,0.068999
2014-12-15,NL,0.08
2014-12-16,GB,0.110001
2014-12-16,US,0.06
2014-12-16,NL,0.068999
2014-12-17,GB,0.168999
2014-12-17,US,0.057999
2014-12-17,NL,0.069999
2014-12-18,GB,0.159999
2014-12-18,US,0.075999
2014-12-18,NL,0.086
2014-12-19,GB,0.21
2014-12-19,US,0.089999
2014-12-19,NL,0.08
2014-12-22,GB,0.239999
2014-12-22,US,0.119999
2014-12-22,NL,0.109999
2014-12-23,GB,0.23
2014-12-23,US,0.116999
2014-12-23,NL,0.119999
2014-12-24,GB,0.2
2014-12-24,US,0.229999
2014-12-24,NL,0.17
2014-12-29,GB,0.281
2014-12-29,US,0.178999
2014-12-29,NL,0.100999
2014-12-30,GB,0.25
2014-12-30,US,0.151
2014-12-30,NL,0.119999
2014-12-31,GB,0.13
2014-12-31,US,0.15
2014-12-31,NL,0.209999
2015-01-02,GB,0.238999
2015-01-02,US,0.113
2015-01-02,NL,0.138499
2015-01-05,GB,0.18
2015-01-05,US,0.119999
2015-01-05,NL,0.08
2015-01-06,GB,0.178999
2015-01-06,US,0.084999
2015-01-06,NL,0.079999
2015-01-07,GB,0.172999
2015-01-07,US,0.073999
2015-01-07,NL,0.08
2015-01-08,GB,0.22
2015-01-08,US,0.110001
2015-01-08,NL,0.099
2015-01-09,GB,0.16
2015-01-09,US,0.071999
2015-01-09,NL,0.079999
2015-01-12,GB,0.16
2015-01-12,US,0.071999
2015-01-12,NL,0.084999
2015-01-13,GB,0.169
2015-01-13,US,0.061999
2015-01-13,NL,0.101
2015-01-14,GB,0.108999
2015-01-14,US,0.059
2015-01-14,NL,0.069
2015-01-15,GB,0.09
2015-01-15,US,0.06
2015-01-15,NL,0.064999
2015-01-16,GB,0.151
2015-01-16,US,0.076999
2015-01-16,NL,0.088999
2015-01-20,GB,0.138999
