date,market1,market2,lag
2006-12-19,NL,US,16000
2006-12-19,US,NL,-16000
2007-01-04,US,GB,12000
2007-01-04,GB,US,-12000
2007-01-04,NL,GB,-26000
2007-01-04,GB,NL,26000
2007-01-04,NL,US,-38000
2007-01-04,US,NL,38000
2007-01-18,US,GB,-6000
2007-01-18,GB,US,6000
2007-01-18,NL,GB,-10000
2007-01-18,GB,NL,10000
2007-01-18,NL,US,6000
2007-01-18,US,NL,-6000
2007-02-01,US,GB,2000
2007-02-01,GB,US,-2000
2007-02-01,NL,GB,0
2007-02-01,GB,NL,0
2007-02-01,NL,US,-4000
2007-02-01,US,NL,4000
2007-02-15,US,GB,-35750
2007-02-15,GB,US,35750
2007-02-15,NL,GB,0
2007-02-15,GB,NL,0
2007-02-15,NL,US,-18000
2007-02-15,US,NL,18000
2007-03-01,US,GB,-10000
2007-03-01,GB,US,10000
2007-03-01,NL,GB,30250
2007-03-01,GB,NL,-30250
2007-03-01,NL,US,-6000
2007-03-01,US,NL,6000
2007-03-15,US,GB,44500
2007-03-15,GB,US,-44500
2007-03-15,NL,GB,2001
2007-03-15,GB,NL,-2001
2007-03-15,NL,US,16000
2007-03-15,US,NL,-16000
2007-03-29,US,GB,-14000
2007-03-29,GB,US,14000
2007-03-29,NL,GB,22000
2007-03-29,GB,NL,-22000
2007-03-29,NL,US,34000
2007-03-29,US,NL,-34000
2007-04-13,US,GB,0
2007-04-13,GB,US,0
2007-04-13,NL,GB,54250
2007-04-13,GB,NL,-54250
2007-04-13,NL,US,6000
2007-04-13,US,NL,-6000
2007-04-27,US,GB,-16000
2007-04-27,GB,US,16000
2007-04-27,NL,GB,-4000
2007-04-27,GB,NL,4000
2007-04-27,NL,US,18000
2007-04-27,US,NL,-18000
2007-05-11,US,GB,4000
2007-05-11,GB,US,-4000
2007-05-11,NL,GB,-59000
2007-05-11,GB,NL,59000
2007-05-11,NL,US,8000
2007-05-11,US,NL,-8000
2007-05-25,US,GB,-26000
2007-05-25,GB,US,26000
2007-05-25,NL,GB,-29750
2007-05-25,GB,NL,29750
2007-05-25,NL,US,-22000
2007-05-25,US,NL,22000
2007-06-08,US,GB,10000
2007-06-08,GB,US,-10000
2007-06-08,NL,GB,18000
2007-06-08,GB,NL,-18000
2007-06-08,NL,US,10000
2007-06-08,US,NL,-10000
2007-06-22,US,GB,10000
2007-06-22,GB,US,-10000
2007-06-22,NL,GB,14000
2007-06-22,GB,NL,-14000
2007-06-22,NL,US,-24000
2007-06-22,US,NL,24000
2007-07-06,US,GB,-10000
2007-07-06,GB,US,10000
2007-07-06,NL,GB,52000
2007-07-06,GB,NL,-52000
2007-07-06,NL,US,4000
2007-07-06,US,NL,-4000
