date,market1,market2,lag
2010-03-26,US,GB,-2500
2010-03-26,GB,US,2500
2010-03-26,NL,GB,63
2010-03-26,GB,NL,-63
2010-03-26,NL,US,14000
2010-03-26,US,NL,-14000
2010-03-29,US,GB,-2000
2010-03-29,GB,US,2000
2010-03-29,NL,GB,14000
2010-03-29,GB,NL,-14000
2010-03-29,NL,US,14000
2010-03-29,US,NL,-14000
2010-03-30,US,GB,0
2010-03-30,GB,US,0
2010-03-30,NL,GB,-11000
2010-03-30,GB,NL,11000
2010-03-30,NL,US,0
2010-03-30,US,NL,0
2010-03-31,US,GB,-25625
2010-03-31,GB,US,25625
2010-03-31,NL,GB,-5500
2010-03-31,GB,NL,5500
2010-03-31,NL,US,3500
2010-03-31,US,NL,-3500
2010-04-01,US,GB,-14000
2010-04-01,GB,US,14000
2010-04-01,NL,GB,500
2010-04-01,GB,NL,-500
2010-04-01,NL,US,19000
2010-04-01,US,NL,-19000
2010-04-06,US,GB,500
2010-04-06,GB,US,-500
2010-04-06,NL,GB,19937
2010-04-06,GB,NL,-19937
2010-04-06,NL,US,3500
2010-04-06,US,NL,-3500
2010-04-07,US,GB,-187
2010-04-07,GB,US,187
2010-04-07,NL,GB,4000
2010-04-07,GB,NL,-4000
2010-04-07,NL,US,4000
2010-04-07,US,NL,-4000
2010-04-08,US,GB,14500
2010-04-08,GB,US,-14500
2010-04-08,NL,GB,21500
2010-04-08,GB,NL,-21500
2010-04-08,NL,US,-3750
2010-04-08,US,NL,3750
2010-04-09,US,GB,500
2010-04-09,GB,US,-500
2010-04-09,NL,GB,11750
2010-04-09,GB,NL,-11750
2010-04-09,NL,US,4000
2010-04-09,US,NL,-4000
2010-04-12,US,GB,23735
2010-04-12,GB,US,-23735
2010-04-12,NL,GB,1250
2010-04-12,GB,NL,-1250
2010-04-12,NL,US,1000
2010-04-12,US,NL,-1000
2010-04-13,US,GB,-32750
2010-04-13,GB,US,32750
2010-04-13,NL,GB,2250
2010-04-13,GB,NL,-2250
2010-04-13,NL,US,10250
2010-04-13,US,NL,-10250
2010-04-14,US,GB,4000
2010-04-14,GB,US,-4000
2010-04-14,NL,GB,1500
2010-04-14,GB,NL,-1500
2010-04-14,NL,US,0
2010-04-14,US,NL,0
2010-04-15,US,GB,873
2010-04-15,GB,US,-873
2010-04-15,NL,GB,31000
2010-04-15,GB,NL,-31000
2010-04-15,NL,US,12000
2010-04-15,US,NL,-12000
2010-04-16,US,GB,-250
2010-04-16,GB,US,250
2010-04-16,NL,GB,1000
2010-04-16,GB,NL,-1000
2010-04-16,NL,US,500
2010-04-16,US,NL,-500
2010-04-19,US,GB,-6000
2010-04-19,GB,US,6000
2010-04-19,NL,GB,-2000
2010-04-19,GB,NL,2000
2010-04-19,NL,US,13500
2010-04-19,US,NL,-13500
2010-04-20,US,GB,-1250
2010-04-20,GB,US,1250
2010-04-20,NL,GB,1000
2010-04-20,GB,NL,-1000
2010-04-20,NL,US,8000
2010-04-20,US,NL,-8000
2010-04-21,US,GB,0
2010-04-21,GB,US,0
2010-04-21,NL,GB,63
2010-04-21,GB,NL,-63
2010-04-21,NL,US,0
2010-04-21,US,NL,0
